,HomeTeam,AwayTeam,FTR,PredictedFTR
429,Arsenal,Bolton,NH,H
430,Blackburn,Everton,H,NH
431,Leicester,Fulham,NH,H
432,Liverpool,Tottenham,H,H
433,Man United,Ipswich,H,H
434,Sunderland,Charlton,NH,NH
435,Chelsea,Middlesbrough,NH,H
436,Leeds,Derby,H,NH
437,West Ham,Newcastle,H,NH
438,Southampton,Aston Villa,NH,NH
439,Newcastle,Leicester,H,NH
440,Bolton,Sunderland,NH,NH
441,Charlton,Leicester,H,NH
442,Derby,Arsenal,NH,H
443,Everton,West Ham,H,H
444,Middlesbrough,Southampton,NH,H
445,Tottenham,Man United,NH,H
446,Aston Villa,Blackburn,H,NH
447,Fulham,Chelsea,NH,NH
448,Ipswich,Leeds,NH,NH
449,Newcastle,Liverpool,NH,NH
450,Bolton,Newcastle,NH,H
451,Charlton,Middlesbrough,NH,NH
452,Chelsea,Leicester,H,H
453,Ipswich,Everton,NH,H
454,Liverpool,Leeds,NH,H
455,Southampton,Arsenal,NH,NH
456,Sunderland,Man United,NH,NH
457,Aston Villa,Fulham,H,NH
458,Blackburn,West Ham,H,NH
459,Tottenham,Derby,H,NH
460,Arsenal,Blackburn,NH,NH
461,Derby,Charlton,NH,NH
462,Everton,Aston Villa,H,NH
463,Leicester,Liverpool,NH,NH
464,Man United,Bolton,NH,NH
465,West Ham,Southampton,H,NH
466,Fulham,Ipswich,NH,H
467,Leeds,Chelsea,NH,NH
468,Newcastle,Tottenham,NH,H
469,Middlesbrough,Sunderland,H,NH
470,Aston Villa,Charlton,H,H
471,Southampton,Ipswich,NH,NH
472,West Ham,Chelsea,H,H
473,Aston Villa,Bolton,H,H
474,Charlton,Liverpool,NH,NH
475,Everton,Newcastle,NH,NH
476,Fulham,Southampton,H,NH
477,Man United,Leeds,NH,H
478,Sunderland,Arsenal,NH,NH
479,Tottenham,Middlesbrough,H,H
480,Derby,Chelsea,NH,H
481,Ipswich,West Ham,NH,H
482,Blackburn,Leicester,NH,H
483,Bolton,Everton,NH,H
484,Leicester,Sunderland,H,H
485,Middlesbrough,Derby,H,NH
486,Newcastle,Aston Villa,H,H
487,Southampton,Blackburn,NH,H
488,West Ham,Fulham,NH,NH
489,Arsenal,Charlton,NH,NH
490,Chelsea,Ipswich,H,H
491,Leeds,Tottenham,H,H
492,Liverpool,Man United,H,NH
493,Aston Villa,Middlesbrough,NH,H
494,Blackburn,Liverpool,NH,NH
495,Derby,Southampton,H,NH
496,Fulham,Newcastle,H,H
497,Man United,Leicester,H,H
